ticker,date,open,high,low,close,volume
AMZN,2025-03-04,200.11,206.8,197.43,203.8,60853100
AMZN,2025-03-05,204.8,209.98,203.26,208.36,38610100
AMZN,2025-03-06,204.4,205.77,198.3,200.7,49863800
AMZN,2025-03-07,199.49,202.27,192.53,199.25,59802800
AMZN,2025-03-10,195.6,196.73,190.85,194.54,62350900
AMZN,2025-03-11,193.9,200.18,193.4,196.59,54002900
AMZN,2025-03-12,200.72,201.52,195.29,198.89,43679300
AMZN,2025-03-13,198.17,198.88,191.82,193.89,41270800
AMZN,2025-03-14,197.41,198.65,195.32,197.95,38096700
AMZN,2025-03-17,198.77,199.0,194.32,195.74,47341800
AMZN,2025-03-18,192.52,194.0,189.38,192.82,40414900
AMZN,2025-03-19,193.38,195.97,191.96,195.54,39442900
AMZN,2025-03-20,193.07,199.32,192.3,194.95,38921100
AMZN,2025-03-21,192.9,196.99,192.52,196.21,60056900
AMZN,2025-03-24,200.0,203.64,199.95,203.26,41625400
AMZN,2025-03-25,203.6,206.21,203.22,205.71,31171200
AMZN,2025-03-26,205.84,206.01,199.93,201.13,32855300
AMZN,2025-03-27,200.89,203.79,199.28,201.36,27317700
AMZN,2025-03-28,198.42,199.26,191.88,192.72,52548200
AMZN,2025-03-31,188.19,191.33,184.4,190.26,63547600
AMZN,2025-04-01,187.86,193.93,187.2,192.17,41267300
AMZN,2025-04-02,187.66,198.34,187.66,196.01,53679200
AMZN,2025-04-03,183.0,184.13,176.92,178.41,95553600
AMZN,2025-04-04,167.15,178.14,166.0,171.0,123159400
AMZN,2025-04-07,162.0,183.41,161.38,175.26,109327100
AMZN,2025-04-08,185.23,185.9,168.57,170.66,87710400
AMZN,2025-04-09,172.12,192.65,169.93,191.1,116804300
AMZN,2025-04-10,185.44,186.87,175.85,181.22,68302000
AMZN,2025-04-11,179.93,185.86,178.0,184.87,50594300
AMZN,2025-04-14,186.84,187.44,179.23,182.12,48002500
AMZN,2025-04-15,181.41,182.35,177.93,179.59,43642000
AMZN,2025-04-16,176.29,179.1,171.41,174.33,51875300
AMZN,2025-04-17,176.0,176.21,172.0,172.61,44726500
AMZN,2025-04-21,169.6,169.6,165.29,167.32,48126100
AMZN,2025-04-22,169.85,176.78,169.35,173.18,56607200
AMZN,2025-04-23,183.45,187.38,180.19,180.6,63470100
AMZN,2025-04-24,180.92,186.74,180.18,186.54,43763200
AMZN,2025-04-25,187.62,189.94,185.49,188.99,36414300
AMZN,2025-04-28,190.11,190.22,184.89,187.7,33224700
AMZN,2025-04-29,183.99,188.02,183.68,187.39,41667300
AMZN,2025-04-30,182.17,185.05,178.85,184.42,55176500
AMZN,2025-05-01,190.63,191.81,187.5,190.2,74266000
AMZN,2025-05-02,191.44,192.88,186.4,189.98,77903500
AMZN,2025-05-05,186.51,188.18,185.53,186.35,35217500
AMZN,2025-05-06,184.57,187.93,183.85,185.01,29314100
AMZN,2025-05-07,185.56,190.99,185.01,188.71,43948600
AMZN,2025-05-08,191.43,194.33,188.82,192.08,41043600
AMZN,2025-05-09,193.38,194.69,191.16,193.06,29663100
AMZN,2025-05-12,210.71,211.66,205.75,208.64,75205000
AMZN,2025-05-13,211.08,214.84,210.1,211.37,56193700
AMZN,2025-05-14,211.45,211.93,208.85,210.25,38492100
AMZN,2025-05-15,206.45,206.88,202.67,205.17,64347300
AMZN,2025-05-16,206.85,206.85,204.37,205.59,43318500
AMZN,2025-05-19,201.65,206.62,201.26,206.16,34314800
AMZN,2025-05-20,204.63,205.59,202.65,204.07,29470400
AMZN,2025-05-21,201.61,203.46,200.06,201.12,42460900
AMZN,2025-05-22,201.38,205.76,200.16,203.1,38938900
AMZN,2025-05-23,198.9,202.37,197.85,200.99,33393500
AMZN,2025-05-27,203.09,206.69,202.19,206.02,34892000
AMZN,2025-05-28,205.92,207.66,204.41,204.72,28549800
AMZN,2025-05-29,208.03,208.81,204.23,205.7,34650000
AMZN,2025-05-30,204.84,205.99,201.7,205.01,51679400
